,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.0,6.16,4.4,6.59,5.15,0.0,7.07,7.02,0.0,3.22,3.52,5.85,0.0,5.06,6.89,0.0,0.0,4.71,5.17,5.54,5.94,0.0,6.95,5.69,4.77,4.41,5.16,5.35,3.74,4.85,5.7,0.0,4.43,5.25,6.31,4.16,5.72,0.0,4.26,7.5,5.49,5.04,6.58,6.22,8.15,5.9,7.33,0.0,4.5,6.69
1,0.0,0.0,0.0,3.9,0.0,4.96,6.56,0.0,5.93,3.42,7.0,6.83,4.78,6.24,0.0,0.0,4.96,0.0,5.46,4.15,7.88,6.77,7.22,0.0,6.27,5.1,0.0,4.04,6.18,4.69,5.22,3.71,5.75,6.0,6.31,4.53,6.38,0.0,6.57,5.4,3.66,7.68,0.0,5.44,0.0,0.0,0.0,0.0,6.22,4.52
2,4.85,5.03,0.0,5.89,4.9,5.27,4.3,0.0,6.37,2.29,0.0,7.31,4.55,3.25,0.0,6.4,4.51,4.88,4.6,2.38,5.43,4.18,7.25,4.77,5.22,8.11,6.2,6.28,4.95,4.54,5.4,4.59,0.0,0.0,5.23,5.88,6.4,5.99,6.04,5.06,7.61,5.98,0.0,0.0,3.73,0.0,4.69,7.07,7.57,3.23
3,5.79,6.05,9.51,0.0,6.8,6.32,0.0,5.78,5.82,0.0,0.0,0.0,5.79,0.0,5.59,5.27,0.0,4.55,7.58,0.0,5.32,8.39,5.36,0.0,0.0,6.32,4.11,6.76,5.61,4.03,0.0,6.39,0.0,5.54,4.58,5.16,5.73,4.63,4.52,3.18,4.38,6.78,3.68,0.0,6.18,0.0,0.0,4.51,0.0,4.82
4,0.0,4.93,8.34,5.3,0.0,6.34,7.37,5.2,4.27,0.0,6.03,4.76,5.86,5.84,6.66,8.59,0.0,6.54,5.7,7.09,7.43,5.59,4.59,3.39,5.59,0.0,0.0,4.13,0.0,5.18,6.0,6.04,5.32,7.29,3.61,5.98,4.86,0.0,6.9,3.8,5.41,2.88,3.8,5.62,6.17,5.1,5.12,0.0,6.23,5.18
5,4.39,0.0,4.66,0.0,6.16,0.0,4.06,4.8,4.77,6.12,6.95,4.82,5.13,4.95,5.53,4.89,5.27,2.77,5.69,5.91,0.0,3.47,3.83,5.1,6.17,7.25,6.4,0.0,5.14,0.0,4.98,0.0,0.0,2.44,7.37,2.8,5.11,4.54,5.57,4.81,5.34,0.0,6.21,5.11,5.37,6.14,4.52,4.77,0.0,7.36
6,5.73,5.89,5.69,0.0,6.33,3.15,0.0,4.69,5.14,6.17,4.59,7.14,4.36,5.48,2.33,0.0,6.43,4.69,4.58,4.53,4.4,4.23,4.66,8.0,5.36,2.7,4.54,7.28,5.92,7.35,6.1,2.76,0.0,6.83,2.27,0.0,4.58,5.98,0.0,6.17,4.32,5.95,0.0,5.8,0.0,6.83,8.34,6.93,6.24,5.49
7,0.0,5.59,4.44,4.37,4.68,4.86,6.57,0.0,6.76,6.81,6.8,4.42,6.14,7.33,6.21,5.74,4.71,0.0,0.0,7.74,5.67,5.94,4.16,4.04,3.69,5.09,6.68,5.99,0.0,0.0,5.91,5.39,4.91,0.0,0.0,4.35,4.66,0.0,4.59,6.3,6.4,6.33,4.87,6.46,6.62,6.16,0.0,7.73,4.09,4.8
8,6.5,0.0,5.9,0.0,5.85,0.0,4.77,7.31,0.0,6.06,0.0,4.08,6.22,6.01,5.28,4.82,7.53,5.67,7.89,0.0,4.22,6.15,6.62,4.62,7.18,0.0,0.0,0.0,5.59,5.61,5.8,5.67,0.0,7.71,4.14,5.08,7.25,5.79,6.38,4.19,5.85,6.52,0.0,6.85,4.72,6.6,0.0,3.63,0.0,6.33
9,5.59,5.87,6.84,7.01,5.74,4.25,5.83,0.0,0.0,0.0,4.46,0.0,4.94,5.39,5.85,4.39,6.54,0.0,4.68,0.0,5.8,4.83,6.21,5.29,0.0,4.75,5.78,5.5,5.77,4.29,6.38,2.99,4.95,3.13,6.04,6.21,5.2,3.51,0.0,5.66,6.49,5.14,4.6,5.09,5.71,6.42,6.18,4.24,5.88,5.3
10,5.81,4.0,6.08,4.32,4.76,5.99,7.37,4.92,4.85,5.48,0.0,5.32,0.0,6.54,0.0,6.58,4.6,5.89,7.25,5.58,5.96,7.53,7.49,3.81,6.78,5.81,0.0,3.44,6.83,4.14,4.56,6.41,0.0,6.29,0.0,4.46,5.41,7.0,0.0,5.14,0.0,5.95,4.79,4.99,6.74,5.74,4.41,4.36,5.81,5.62
11,7.48,6.41,5.28,6.72,4.58,5.58,5.31,3.83,5.64,3.53,0.0,0.0,5.76,6.48,6.15,5.4,0.0,0.0,3.79,7.11,5.75,5.42,5.67,0.0,5.77,5.48,0.0,0.0,5.09,4.35,7.26,0.0,5.6,5.67,0.0,0.0,4.44,5.7,5.63,6.44,6.1,3.42,4.43,4.53,5.2,4.87,5.96,4.52,3.67,2.39
12,0.0,4.62,7.78,5.88,5.32,6.4,5.31,5.67,6.18,4.0,5.6,5.62,0.0,5.62,3.48,4.19,5.4,0.0,0.0,3.98,5.44,4.76,7.24,4.72,3.45,3.86,7.33,6.84,5.1,4.41,4.4,5.62,3.71,6.13,6.61,3.7,6.21,4.61,4.91,5.07,6.58,7.83,0.0,2.0,4.34,4.56,5.99,3.99,4.19,4.51
13,0.0,5.22,5.36,4.14,0.0,6.59,3.67,6.08,6.17,7.16,6.29,3.95,6.4,0.0,6.91,0.0,6.03,5.09,4.73,5.72,5.67,5.04,5.46,3.42,0.0,8.09,6.33,6.17,8.6,3.48,5.2,0.0,6.53,6.37,0.0,0.0,0.0,3.86,5.45,2.8,5.19,7.81,6.53,0.0,6.91,4.48,5.15,6.28,8.08,6.06
14,6.06,0.0,0.0,6.62,0.0,5.73,6.56,4.91,3.15,0.0,0.0,6.57,4.22,6.97,0.0,6.19,5.07,6.62,6.5,0.0,6.68,5.49,6.59,0.0,7.46,6.17,4.56,5.36,7.29,4.29,5.42,5.03,6.78,6.04,3.29,0.0,3.91,4.93,0.0,5.87,3.56,0.0,4.51,0.0,5.89,0.0,5.71,3.12,4.97,3.65
15,6.19,4.86,5.19,6.48,0.0,8.0,5.56,5.77,0.0,7.59,8.03,5.18,0.0,3.32,4.99,0.0,5.89,0.0,5.33,4.61,0.0,5.4,0.0,4.55,5.89,4.74,4.61,0.0,0.0,5.44,7.6,5.49,7.35,0.0,6.07,7.59,6.63,0.0,5.71,3.47,8.54,7.01,5.69,1.95,7.1,5.07,0.0,7.6,0.0,8.57
16,0.0,6.57,7.38,0.0,0.0,5.55,4.33,4.12,7.22,4.45,6.22,5.48,0.0,6.93,7.43,5.28,0.0,6.38,0.0,0.0,4.89,0.0,5.17,7.92,5.7,6.82,3.31,3.96,6.66,5.63,0.0,5.96,5.12,0.0,7.54,5.15,4.04,7.5,5.92,5.36,6.88,0.0,4.84,5.28,0.0,0.0,3.87,4.77,0.0,0.0
17,5.49,6.38,5.09,7.3,0.0,5.32,5.86,6.59,0.0,5.95,4.06,4.72,0.0,5.74,0.0,0.0,0.0,0.0,6.57,4.57,4.48,0.0,0.0,5.24,3.87,3.78,4.88,5.43,0.0,5.63,4.71,6.51,0.0,3.27,6.44,4.01,0.0,0.0,7.49,3.58,6.18,6.17,5.51,7.42,0.0,0.0,5.03,3.64,3.22,0.0
18,3.88,0.0,6.08,5.12,4.99,3.14,4.56,0.0,0.0,4.88,4.29,6.41,5.87,0.0,7.3,0.0,4.75,7.33,0.0,6.15,0.0,0.0,5.41,3.88,3.63,6.11,0.0,4.35,0.0,4.29,0.0,4.77,4.26,0.0,0.0,6.15,8.14,0.0,5.44,4.95,0.0,5.36,5.76,3.13,5.34,5.39,4.64,6.99,7.54,5.02
19,5.65,6.98,0.0,3.29,4.83,5.51,3.8,5.21,7.25,3.09,3.44,4.75,5.58,5.53,4.93,0.0,3.49,6.13,6.04,0.0,5.81,4.7,6.66,6.35,6.78,4.42,8.02,6.11,0.0,7.15,4.29,5.03,4.46,6.77,0.0,4.62,4.36,3.83,0.0,0.0,7.39,3.91,4.75,5.28,5.26,6.04,5.48,6.28,0.0,5.04
20,0.0,7.7,7.04,3.96,7.89,5.56,4.67,0.0,5.21,3.32,8.16,3.12,3.72,0.0,6.58,7.41,3.56,6.12,4.67,5.19,0.0,4.64,6.55,8.39,6.14,0.0,4.27,6.3,6.33,3.75,0.0,6.6,5.06,4.23,3.98,0.0,6.63,4.97,5.85,5.02,4.52,6.21,6.12,6.86,2.91,5.37,0.0,6.11,6.02,5.54
21,3.94,0.0,7.43,6.31,5.18,5.5,4.06,6.03,4.27,4.48,0.0,4.77,0.0,3.67,4.87,0.0,3.19,5.76,5.59,6.85,5.62,0.0,5.96,5.38,5.56,0.0,4.41,5.98,5.29,3.56,4.65,3.61,7.36,5.12,6.0,7.16,5.91,7.03,7.84,4.56,0.0,6.04,7.29,6.2,5.43,6.64,4.24,5.29,5.42,5.08
22,5.4,0.0,3.57,4.54,7.44,0.0,7.63,0.0,4.06,4.85,5.01,6.23,6.4,5.83,5.2,4.02,2.25,6.07,7.65,6.54,7.1,5.69,0.0,5.27,8.75,4.9,4.9,5.63,6.14,0.0,6.86,7.56,4.33,6.62,5.88,0.0,3.52,0.0,6.05,4.68,5.17,5.52,6.91,0.0,3.69,6.42,6.1,6.18,4.87,7.92
23,0.0,5.44,5.75,5.92,5.29,4.15,0.0,0.0,0.0,0.0,0.0,4.89,5.08,5.48,6.31,7.35,0.0,5.63,3.15,3.62,4.25,6.14,5.24,0.0,5.97,5.32,5.49,3.37,6.9,7.18,6.37,0.0,6.11,3.43,5.19,0.0,7.35,7.53,7.66,7.37,8.17,5.53,6.57,0.0,5.34,6.47,3.3,6.95,0.0,8.2
24,0.0,6.34,6.52,0.0,5.1,6.41,0.0,6.93,3.68,5.46,6.46,5.03,1.31,4.63,4.76,0.0,4.95,6.33,2.03,5.7,6.51,4.99,6.14,4.16,0.0,0.0,0.0,5.47,3.83,6.12,2.92,8.43,5.57,0.0,5.92,6.93,4.11,7.91,5.41,3.74,6.3,6.25,4.91,7.87,0.0,5.79,7.62,0.0,3.77,5.35
25,5.38,7.93,6.56,0.0,6.35,6.3,6.76,5.97,5.5,4.67,7.21,0.0,8.13,3.1,6.52,0.0,7.42,5.53,4.87,0.0,5.95,0.0,0.0,7.06,7.79,0.0,0.0,3.76,0.0,5.37,5.74,4.85,4.47,4.5,0.0,5.86,6.03,6.18,3.72,2.18,0.0,6.64,6.86,0.0,5.12,0.0,0.0,4.38,5.15,6.61
26,4.86,4.63,6.39,6.58,5.52,4.52,5.0,4.01,4.89,4.98,5.42,6.46,7.88,6.88,0.0,5.19,5.71,4.13,4.5,5.44,5.62,3.77,5.25,5.11,4.17,5.83,0.0,5.61,7.16,6.42,7.71,7.85,0.0,4.99,0.0,5.02,6.77,4.18,0.0,4.71,5.57,6.34,4.31,6.19,6.16,5.32,3.52,5.07,6.85,4.24
27,4.53,4.41,4.87,5.31,6.19,5.63,4.7,0.0,5.44,4.76,5.9,3.55,6.44,5.61,5.99,6.29,6.2,7.94,0.0,6.11,6.04,0.0,5.69,3.6,6.97,4.16,3.28,0.0,0.0,4.85,6.48,4.84,5.37,5.77,3.9,0.0,4.11,6.29,5.92,0.0,7.05,7.12,5.14,5.09,5.63,3.31,4.13,0.0,2.61,4.65
28,3.39,0.0,4.86,5.04,5.09,7.69,3.66,5.03,0.0,5.68,4.76,7.05,6.07,5.47,0.0,5.86,5.44,4.98,0.0,0.0,4.34,6.64,5.9,4.71,6.87,5.39,0.0,4.83,0.0,0.0,6.56,6.88,6.49,0.0,6.87,0.0,0.0,5.69,5.07,6.77,5.48,5.02,8.43,5.73,5.09,0.0,6.01,5.56,0.0,6.79
29,7.33,6.2,0.0,6.53,6.43,4.44,3.75,6.3,4.31,5.98,3.58,6.47,5.61,5.38,0.0,4.45,5.89,5.72,6.44,0.0,4.67,0.0,6.69,4.76,4.17,6.41,5.81,6.63,7.32,0.0,5.53,4.44,4.05,3.99,7.75,4.76,7.8,8.66,0.0,5.45,4.51,3.56,7.19,0.0,0.0,4.65,5.58,0.0,5.64,6.93
30,6.84,7.76,6.85,0.0,3.84,8.47,6.04,8.65,5.69,3.65,6.4,4.69,0.0,0.0,6.56,0.0,6.14,5.8,5.43,7.29,4.81,5.26,4.34,6.62,0.0,0.0,5.1,7.94,7.14,7.0,0.0,5.74,6.91,5.97,5.96,0.0,6.57,5.73,2.66,4.3,6.02,4.42,0.0,5.15,6.5,4.43,5.28,7.72,5.87,4.44
31,5.82,6.67,4.78,7.88,5.36,5.93,6.74,4.77,4.84,5.79,6.27,4.17,5.9,6.63,4.96,5.09,3.73,0.0,4.79,4.66,5.82,4.18,0.0,5.97,0.0,5.9,5.45,6.39,3.16,0.0,4.84,0.0,0.0,5.52,4.59,5.68,0.0,4.9,0.0,6.22,5.87,7.09,3.8,4.47,6.36,6.36,6.21,0.0,4.34,6.7
32,6.12,0.0,5.72,0.0,0.0,5.89,0.0,0.0,5.57,6.67,5.66,0.0,4.73,4.0,6.67,4.8,6.38,5.74,0.0,6.28,5.91,4.16,0.0,7.45,5.4,4.3,4.46,0.0,6.02,5.97,5.19,0.0,0.0,7.17,7.8,4.99,0.0,0.0,0.0,5.99,4.58,6.47,5.27,0.0,6.31,9.04,4.82,4.18,5.6,5.68
33,5.7,5.81,5.95,5.33,6.71,5.15,0.0,4.36,7.14,5.19,3.65,0.0,5.2,4.1,0.0,0.0,0.0,4.64,4.65,6.68,6.99,5.77,4.47,5.2,6.71,2.58,0.0,5.05,5.18,5.26,4.41,4.97,4.77,0.0,2.83,0.0,0.0,5.94,7.47,3.76,0.0,6.74,3.13,0.0,0.0,7.15,5.31,3.95,4.45,4.91
34,5.06,5.22,6.53,4.08,5.92,5.9,4.34,0.0,3.47,7.42,0.0,5.33,4.8,0.0,0.0,0.0,3.69,5.16,5.33,2.32,6.17,6.25,6.19,6.01,5.18,4.65,6.41,4.75,6.51,0.0,5.7,3.59,5.94,5.13,0.0,6.27,6.29,4.05,6.17,6.28,0.0,5.37,5.2,5.6,6.28,5.08,3.26,4.48,7.11,5.35
35,3.89,4.92,3.18,5.49,0.0,4.73,0.0,0.0,5.69,6.23,0.0,0.0,6.7,5.43,5.01,2.81,6.58,5.42,0.0,0.0,0.0,7.15,4.6,3.52,0.0,6.31,6.2,6.2,0.0,4.66,3.61,6.89,6.58,0.0,3.38,0.0,6.28,0.0,5.35,6.25,5.56,6.66,6.24,0.0,3.5,4.3,6.1,4.74,8.14,6.58
36,8.44,7.11,5.27,5.5,8.02,4.16,0.0,0.0,5.04,0.0,6.32,6.05,0.0,6.32,3.71,0.0,7.44,7.83,3.95,7.42,0.0,5.11,5.07,6.37,5.73,7.15,5.29,0.0,7.32,4.34,0.0,6.96,5.17,3.38,0.0,5.27,0.0,5.81,6.2,6.29,5.88,5.56,4.26,5.89,6.9,5.73,0.0,7.28,6.78,5.68
37,5.67,6.28,3.72,5.16,5.7,4.72,5.41,5.5,0.0,5.5,5.95,3.18,4.53,5.55,5.46,3.99,5.49,5.49,0.0,3.74,6.15,5.08,6.53,0.0,5.2,4.34,0.0,0.0,6.31,0.0,5.96,5.86,4.63,7.03,3.66,0.0,4.48,0.0,5.99,4.41,0.0,4.43,3.31,5.46,6.46,5.99,0.0,5.98,4.93,5.66
38,5.88,0.0,5.96,5.0,3.85,0.0,4.64,4.26,0.0,5.62,5.96,3.47,3.84,6.34,6.67,5.73,0.0,4.57,0.0,4.49,5.36,0.0,5.78,0.0,6.11,6.91,0.0,6.44,4.88,2.58,0.0,3.7,4.84,6.4,6.94,4.85,4.76,5.79,0.0,4.42,5.37,5.69,3.13,3.83,6.18,7.37,0.0,4.95,4.86,5.51
39,6.22,5.73,0.0,5.39,3.79,6.27,6.47,0.0,0.0,0.0,4.64,6.54,4.29,3.46,5.55,5.99,6.6,0.0,5.56,4.52,4.55,6.56,4.12,3.88,0.0,0.0,0.0,0.0,6.65,4.88,4.58,5.85,4.83,5.72,5.42,6.08,3.22,0.0,3.52,0.0,7.23,8.2,4.64,0.0,6.39,8.9,4.83,5.01,0.0,4.67
40,4.56,5.27,4.96,0.0,7.27,7.17,4.94,5.25,3.99,5.45,0.0,0.0,3.79,7.05,5.75,5.79,0.0,3.85,5.64,0.0,4.68,0.0,1.41,3.06,3.65,0.0,5.45,0.0,6.05,6.07,6.6,4.82,5.19,5.92,5.6,6.79,5.27,7.73,6.27,6.56,0.0,5.36,4.91,5.5,7.13,6.49,0.0,5.74,7.24,4.91
41,6.14,6.0,6.5,7.18,0.0,6.01,4.55,7.16,5.71,7.12,5.61,5.65,4.45,6.52,0.0,6.88,4.1,5.44,5.2,5.66,7.63,3.62,7.59,4.2,0.0,3.02,5.36,6.85,7.09,5.42,0.0,7.0,6.62,5.66,0.0,6.69,4.67,4.68,5.08,6.32,4.18,0.0,0.0,5.5,7.09,5.02,5.41,6.16,3.34,0.0
42,7.02,5.18,0.0,6.36,5.57,5.41,0.0,0.0,4.99,5.07,0.0,5.89,4.42,6.44,5.69,0.0,6.24,4.56,4.81,5.72,5.14,0.0,0.0,7.12,5.42,4.87,4.07,9.87,0.0,5.16,6.69,2.16,6.97,5.82,6.25,8.68,5.87,5.07,5.42,5.96,2.44,4.24,0.0,6.37,4.18,7.2,5.95,0.0,5.88,6.46
43,4.55,7.25,3.63,0.0,5.76,4.36,6.28,6.37,0.0,6.66,5.65,5.52,7.68,7.39,4.02,7.29,6.31,6.21,0.0,4.6,7.27,6.46,4.95,7.48,5.94,3.5,4.4,0.0,5.64,4.54,4.69,5.06,3.8,4.16,3.92,5.36,6.38,5.42,7.98,5.47,5.23,5.79,7.06,0.0,5.25,6.58,0.0,4.61,4.68,4.86
44,3.91,5.61,5.1,6.09,4.38,5.91,5.95,4.7,0.0,5.05,7.22,4.24,3.81,0.0,6.02,5.22,4.49,0.0,8.53,0.0,4.55,0.0,4.48,5.64,0.0,5.05,6.03,5.2,4.53,0.0,4.51,5.34,7.27,7.04,5.12,0.0,5.45,7.21,5.08,6.84,7.48,7.13,3.8,5.27,0.0,0.0,0.0,5.08,8.38,4.09
45,0.0,0.0,4.82,4.27,4.5,6.36,8.33,4.04,5.71,5.46,5.05,0.0,3.5,5.89,0.0,0.0,4.62,0.0,4.94,6.59,0.0,5.0,5.27,5.11,4.05,0.0,4.49,5.5,4.43,6.81,4.98,7.13,6.49,6.3,4.05,6.18,5.2,6.19,0.0,5.64,5.95,5.48,4.42,5.4,0.0,0.0,7.05,0.0,5.03,5.13
46,6.76,5.52,0.0,6.08,5.11,9.07,4.73,0.0,4.7,6.54,0.0,4.53,7.74,0.0,5.92,4.14,5.25,3.57,0.0,3.53,2.42,6.06,6.26,3.76,0.0,4.19,0.0,0.0,3.52,0.0,5.14,6.86,5.6,2.56,0.0,4.8,7.43,4.22,4.78,0.0,5.81,6.11,5.38,0.0,5.3,6.01,0.0,5.63,4.85,4.61
47,4.44,5.4,6.0,5.84,4.1,3.97,5.35,3.19,6.36,2.91,6.83,7.53,8.19,5.9,4.6,4.4,6.16,0.0,6.36,6.99,0.0,0.0,5.05,7.34,3.28,7.19,5.97,5.5,6.28,5.53,5.37,3.82,5.78,6.56,0.0,4.86,0.0,6.7,5.84,0.0,5.71,4.24,6.86,4.98,4.92,5.66,0.0,0.0,6.31,5.18
48,6.27,3.66,0.0,4.49,4.86,6.56,5.95,6.11,0.0,0.0,4.73,7.35,0.0,0.0,2.95,0.0,0.0,0.0,5.14,0.0,5.91,3.92,4.52,5.51,4.7,2.87,0.0,5.62,0.0,6.87,3.59,4.63,5.11,6.09,2.61,6.22,5.85,7.11,5.92,5.35,0.0,4.77,6.45,4.64,3.68,4.46,6.34,5.26,0.0,3.57
49,5.08,3.78,0.0,6.73,6.47,5.43,6.49,5.09,0.0,6.06,5.59,0.0,5.28,5.62,0.0,0.0,3.92,6.8,6.5,6.57,4.88,5.92,0.0,7.22,6.16,5.18,5.58,3.42,5.21,5.97,5.36,4.92,6.2,5.04,4.41,0.0,7.63,5.46,0.0,5.59,0.0,5.03,4.55,4.76,5.83,8.36,5.87,0.0,5.32,0.0
